framework,fcp_avg,fcp_median,fcp_min,fcp_max,tti_avg,tti_median,tti_min,tti_max,lcp_avg,lcp_median,lcp_min,lcp_max,memory_avg,memory_median,memory_min,memory_max,lighthouseScore_avg,lighthouseScore_median,lighthouseScore_min,lighthouseScore_max,cls_avg,cls_median,cls_min,cls_max,totalRequests_avg,totalRequests_median,totalRequests_min,totalRequests_max,totalSize_avg,totalSize_median,totalSize_min,totalSize_max,staticSize_avg,staticSize_median,staticSize_min,staticSize_max,dynamicSize_avg,dynamicSize_median,dynamicSize_min,dynamicSize_max
React,5308.27855,5308.27855,5308.27855,5308.27855,8623.278549999999,8623.278549999999,8623.278549999999,8623.278549999999,8549.3714,8549.3714,8549.3714,8549.3714,4201956,4201956,4201956,4201956,61,61,61,61,0.019652223396151282,0.019652223396151282,0.019652223396151282,0.019652223396151282,17,17,17,17,1408112,1408112,1408112,1408112,1051881,1051881,1051881,1051881,356231,356231,356231,356231
Solidjs,2739.199,2739.199,2739.199,2739.199,3497.0388000000003,3497.0388000000003,3497.0388000000003,3497.0388000000003,3497.0388,3497.0388,3497.0388,3497.0388,1922840,1922840,1922840,1922840,86,86,86,86,0.05797815071086542,0.05797815071086542,0.05797815071086542,0.05797815071086542,14,14,14,14,403773,403773,403773,403773,103451,103451,103451,103451,300322,300322,300322,300322
type-dom,3761.4378,3761.4378,3761.4378,3761.4378,5499.054,5499.054,5499.054,5499.054,5499.054,5499.054,5499.054,5499.054,3746544,3746544,3746544,3746544,71,71,71,71,0,0,0,0,12,12,12,12,799096,799096,799096,799096,563591,563591,563591,563591,235505,235505,235505,235505
Vue,3310.8388749999995,3310.8388749999995,3310.8388749999995,3310.8388749999995,4828.006649999999,4828.006649999999,4828.006649999999,4828.006649999999,4744.006649999999,4744.006649999999,4744.006649999999,4744.006649999999,2494204,2494204,2494204,2494204,76,76,76,76,0,0,0,0,14,14,14,14,625351,625351,625351,625351,377445,377445,377445,377445,247906,247906,247906,247906
