Framework, Create Rows, Replace All Rows, Partial Update, Select Row, Swap Rows, Remove Row, Create Many Rows, Append Rows to Large Table, Clear Rows
vanilla,349.60,755.70,718.80,78.20,1148.70,1434.00,5153.40,2772.20,1000.20
react,1205.40,157.28,164.84,198.44,166.42,208.48,5079.60,259.20,270.70
solid,254.80,223.88,242.92,405.44,235.36,214.60,2761.40,2210.40,263.80
vue,398.90,183.64,746.24,162.14,559.00,344.50,2303.00,985.10,382.90
type-dom,677.30,638.64,6892.12,1408.54,5256.66,631.36,4356.90,4897.40,464.00
