framework,fcp_avg,fcp_median,fcp_min,fcp_max,tti_avg,tti_median,tti_min,tti_max,lcp_avg,lcp_median,lcp_min,lcp_max,loadTime_avg,loadTime_median,loadTime_min,loadTime_max,memory_avg,memory_median,memory_min,memory_max,cpuUsage_avg,cpuUsage_median,cpuUsage_min,cpuUsage_max,scrollFPS_avg,scrollFPS_median,scrollFPS_min,scrollFPS_max,eventResponseTime_avg,eventResponseTime_median,eventResponseTime_min,eventResponseTime_max,lighthouseScore_avg,lighthouseScore_median,lighthouseScore_min,lighthouseScore_max,cls_avg,cls_median,cls_min,cls_max,fcpToTtiGap_avg,fcpToTtiGap_median,fcpToTtiGap_min,fcpToTtiGap_max,totalRequests_avg,totalRequests_median,totalRequests_min,totalRequests_max,totalSize_avg,totalSize_median,totalSize_min,totalSize_max,staticSize_avg,staticSize_median,staticSize_min,staticSize_max,dynamicSize_avg,dynamicSize_median,dynamicSize_min,dynamicSize_max
React,5135.901,5135.901,5135.901,5135.901,8628.500999999998,8628.500999999998,8628.500999999998,8628.500999999998,8447.867999999999,8447.867999999999,8447.867999999999,8447.867999999999,NaN,,NaN,NaN,2812892,2812892,2812892,2812892,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,59,59,59,59,0.003659962288317761,0.003659962288317761,0.003659962288317761,0.003659962288317761,NaN,,NaN,NaN,16,16,16,16,1386442,1386442,1386442,1386442,1051881,1051881,1051881,1051881,334561,334561,334561,334561
Solidjs,2717.424375,2717.424375,2717.424375,2717.424375,3398.50925,3398.50925,3398.50925,3398.50925,3398.50925,3398.50925,3398.50925,3398.50925,NaN,,NaN,NaN,1673428,1673428,1673428,1673428,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,87,87,87,87,0.0034499425974666886,0.0034499425974666886,0.0034499425974666886,0.0034499425974666886,NaN,,NaN,NaN,13,13,13,13,384326,384326,384326,384326,103451,103451,103451,103451,280875,280875,280875,280875
type-dom,3709.2482,3709.2482,3709.2482,3709.2482,5448.926,5448.926,5448.926,5448.926,5448.926,5448.926,5448.926,5448.926,NaN,,NaN,NaN,3396124,3396124,3396124,3396124,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,71,71,71,71,0,0,0,0,NaN,,NaN,NaN,11,11,11,11,781180,781180,781180,781180,563591,563591,563591,563591,217589,217589,217589,217589
Vue
